PatientTime, SCETime, WorldTime, HR, SBP, DBP, MAP, RR, VT, SpO2, TBody, CVP, PAS, PAD, PCWP, CO, ICP, PaO2 , PaCO2 , pH, TBlood, Hb, Hct, PvO2, PvCO2, PAO2, PACO2, PAN2, Alv. SEV., Alv. ISO., Alv. ENF., Alv. HAL., Alv. N2O, C-SPINE X, C-SPINE Y, II
00:00:00, 00:00:00, 2019-10-28 10:30:52, 71, 116, 77, 91.6, 11, 491, 98, 36.5, 6, 20, 8, 6, 5.1, 9, 104.7, 39.9, 7.44, 37.0, 14.4, 42.3, 43.5, 45.8, 113.4, 38.4, 561.28, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.92 
00:00:05, 00:00:05, 2019-10-28 10:30:57, 71, 128, 82, 97.5, 11, 491, 98, 36.5, 2, 24, 10, 5, 5.2, 9, 105.2, 39.7, 7.44, 37.0, 14.4, 42.3, 43.1, 45.8, 112.4, 40.6, 559.96, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.82 
00:00:10, 00:00:10, 2019-10-28 10:31:02, 64, 121, 77, 94.7, 11, 477, 98, 36.5, 2, 23, 8, 5, 5.2, 9, 105.5, 39.7, 7.44, 37.0, 14.4, 42.3, 42.7, 45.8, 113.6, 40.2, 559.20, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.76 
00:00:15, 00:00:15, 2019-10-28 10:31:07, 66, 122, 77, 94.2, 11, 489, 98, 36.5, 2, 19, 6, 5, 5.2, 9, 105.7, 39.9, 7.44, 37.0, 14.4, 42.3, 42.3, 45.8, 114.8, 39.4, 558.85, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.70 
00:00:20, 00:00:20, 2019-10-28 10:31:12, 66, 123, 78, 93.6, 11, 499, 98, 36.5, 1, 20, 7, 4, 5.2, 9, 105.8, 40.0, 7.44, 37.0, 14.4, 42.3, 41.9, 45.8, 115.8, 38.5, 558.70, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.61 
00:00:25, 00:00:25, 2019-10-28 10:31:17, 65, 123, 78, 95.1, 11, 505, 98, 36.5, -0, 21, 7, 3, 5.4, 9, 105.9, 40.1, 7.44, 37.0, 14.4, 42.3, 41.6, 45.8, 115.5, 38.7, 558.78, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.54 
00:00:30, 00:00:30, 2019-10-28 10:31:22, 65, 123, 78, 94.2, 11, 506, 98, 36.5, 2, 21, 7, 4, 5.3, 9, 106.1, 40.1, 7.44, 37.0, 14.4, 42.3, 41.3, 45.8, 116.3, 38.3, 558.41, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.46 
00:00:35, 00:00:35, 2019-10-28 10:31:27, 66, 123, 78, 93.5, 11, 506, 98, 36.5, -0, 21, 7, 2, 5.3, 9, 106.1, 40.1, 7.44, 37.0, 14.4, 42.3, 41.1, 45.8, 115.8, 38.6, 558.58, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.39 
00:00:40, 00:00:40, 2019-10-28 10:31:32, 65, 124, 79, 95.6, 11, 506, 98, 36.5, 0, 22, 8, 4, 5.4, 9, 106.2, 40.2, 7.44, 37.0, 14.4, 42.3, 40.9, 45.8, 113.7, 40.4, 558.90, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.32 
00:00:45, 00:00:45, 2019-10-28 10:31:37, 65, 124, 79, 95.8, 11, 505, 98, 36.5, 1, 23, 9, 4, 5.4, 9, 106.3, 40.1, 7.44, 37.0, 14.4, 42.3, 40.8, 45.8, 112.4, 41.6, 559.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.26 
00:00:50, 00:00:50, 2019-10-28 10:31:42, 65, 124, 78, 95.0, 11, 505, 98, 36.5, 2, 23, 9, 5, 5.4, 9, 106.3, 40.1, 7.44, 37.0, 14.4, 42.3, 40.6, 45.8, 112.8, 41.3, 558.90, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.21 
00:00:55, 00:00:55, 2019-10-28 10:31:47, 66, 124, 78, 93.5, 11, 505, 98, 36.5, 2, 23, 9, 5, 5.3, 9, 106.3, 40.0, 7.44, 37.0, 14.4, 42.3, 40.5, 45.8, 113.4, 40.8, 558.83, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.14 
00:01:00, 00:01:00, 2019-10-28 10:31:52, 66, 124, 78, 95.8, 11, 506, 98, 36.5, 2, 23, 9, 5, 5.4, 9, 106.1, 40.1, 7.44, 37.0, 14.4, 42.3, 40.4, 45.8, 112.5, 41.3, 559.23, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.08 
00:01:05, 00:01:05, 2019-10-28 10:31:57, 66, 123, 78, 94.9, 11, 507, 98, 36.5, 2, 23, 9, 5, 5.4, 9, 106.1, 40.0, 7.44, 37.0, 14.4, 42.3, 40.3, 45.8, 113.0, 40.8, 559.19, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 8.03 
00:01:10, 00:01:10, 2019-10-28 10:32:02, 65, 123, 78, 93.4, 11, 507, 98, 36.5, 2, 23, 9, 5, 5.3, 9, 106.0, 40.0, 7.44, 37.0, 14.4, 42.3, 40.2, 45.8, 113.6, 40.2, 559.20, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.98 
00:01:15, 00:01:15, 2019-10-28 10:32:07, 66, 122, 77, 94.6, 11, 507, 98, 36.5, 2, 21, 8, 5, 5.5, 9, 105.9, 40.0, 7.44, 37.0, 14.4, 42.3, 40.1, 45.8, 114.1, 39.6, 559.27, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.93 
00:01:20, 00:01:20, 2019-10-28 10:32:12, 68, 118, 77, 92.9, 12, 506, 98, 36.5, 2, 19, 5, 4, 5.4, 9, 105.8, 40.0, 7.44, 37.0, 14.4, 42.3, 40.1, 45.8, 114.1, 39.5, 559.38, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.87 
00:01:25, 00:01:25, 2019-10-28 10:32:17, 70, 119, 78, 93.8, 13, 501, 98, 36.5, 2, 21, 8, 5, 5.4, 9, 105.8, 39.9, 7.44, 37.0, 14.4, 42.3, 39.9, 45.7, 113.9, 40.0, 559.13, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.79 
00:01:30, 00:01:30, 2019-10-28 10:32:22, 70, 118, 77, 93.5, 15, 479, 98, 36.5, 1, 19, 6, 4, 5.4, 9, 106.1, 39.7, 7.44, 37.0, 14.4, 42.3, 39.8, 45.7, 117.0, 37.7, 558.32, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.71 
00:01:35, 00:01:35, 2019-10-28 10:32:27, 70, 118, 78, 91.6, 15, 470, 98, 36.5, 2, 20, 7, 4, 5.2, 9, 106.3, 39.5, 7.44, 37.0, 14.4, 42.3, 39.7, 45.7, 116.3, 38.7, 558.01, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.65 
00:01:40, 00:01:40, 2019-10-28 10:32:32, 71, 118, 78, 93.4, 15, 465, 98, 36.5, 2, 21, 8, 4, 5.3, 9, 106.5, 39.5, 7.44, 37.0, 14.4, 42.3, 39.6, 45.7, 115.4, 39.7, 557.95, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.60 
00:01:45, 00:01:45, 2019-10-28 10:32:37, 71, 119, 78, 93.6, 15, 460, 98, 36.5, 1, 21, 9, 5, 5.3, 9, 106.5, 39.5, 7.44, 37.0, 14.4, 42.3, 39.5, 45.7, 114.4, 40.5, 558.10, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.54 
00:01:50, 00:01:50, 2019-10-28 10:32:42, 71, 119, 78, 92.2, 15, 459, 98, 36.5, 0, 20, 7, 2, 5.2, 9, 106.5, 39.5, 7.44, 37.0, 14.4, 42.3, 39.4, 45.7, 115.3, 39.6, 558.13, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.49 
00:01:55, 00:01:55, 2019-10-28 10:32:47, 70, 118, 78, 93.4, 15, 459, 98, 36.5, 1, 19, 7, 3, 5.3, 9, 106.6, 39.5, 7.44, 37.0, 14.4, 42.3, 39.3, 45.7, 117.2, 38.0, 557.83, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.45 
00:02:00, 00:02:00, 2019-10-28 10:32:52, 71, 118, 78, 93.5, 15, 459, 98, 36.5, 2, 21, 8, 4, 5.2, 9, 106.7, 39.5, 7.44, 37.0, 14.4, 42.3, 39.3, 45.7, 114.8, 40.2, 558.09, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.40 
00:02:05, 00:02:05, 2019-10-28 10:32:57, 71, 119, 78, 93.5, 15, 458, 98, 36.5, 0, 21, 9, 4, 5.3, 9, 106.6, 39.5, 7.44, 37.0, 14.4, 42.3, 39.2, 45.7, 114.1, 40.6, 558.38, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 7.36 
